,city,county,lat,lon
139,Alabama,Montgomery,32.334141,-86.260841
140,Alabama,Montgomery,32.348511,-86.144541
141,Alabama,Montgomery,32.380124,-86.16438
142,Alabama,Montgomery,32.378365,-86.24679
143,Alabama,Montgomery,32.391523,-86.193254
144,Alabama,Montgomery,32.341846,-86.277533
145,Alabama,Montgomery,32.375242,-86.158352
146,Alabama,Montgomery,32.309924,-86.240711
147,Alabama,Montgomery,32.343306,-86.167468
148,Alabama,Montgomery,32.341748,-86.167057
149,Alabama,Montgomery,32.389676,-86.244298
150,Alabama,Montgomery,32.356445,-86.143059
151,Alabama,Montgomery,32.308274,-86.257496
152,Alabama,Montgomery,32.345345,-86.153421
153,Alabama,Montgomery,32.389227,-86.228626
154,Alabama,Montgomery,32.339396,-86.231634
155,Alabama,Montgomery,32.3413,-86.28926
156,Alabama,Montgomery,32.386844,-86.284387
157,Alabama,Montgomery,32.351898,-86.232662
158,Alabama,Montgomery,32.405798,-86.200885
159,Alabama,Montgomery,32.37089,-86.161376
160,Alabama,Montgomery,32.323353,-86.291318
161,Alabama,Montgomery,32.323992,-86.458715
162,Alabama,Montgomery,32.155112,-86.220291
163,Alabama,Montgomery,32.37021,-86.251939
164,Alabama,Montgomery,32.389801,-86.196333
165,Alabama,Montgomery,32.393518,-86.247999
166,Alabama,Montgomery,32.362228,-86.312431
167,Alabama,Montgomery,32.316226,-86.134284
168,Alabama,Montgomery,32.330353,-86.257237
169,Alabama,Montgomery,32.336941,-86.223595
170,Alabama,Montgomery,32.312602,-86.287019
171,Alabama,Montgomery,32.334407,-86.289689
172,Alabama,Montgomery,32.37289,-86.237024
173,Alabama,Montgomery,32.392608,-86.231218
174,Alabama,Montgomery,32.31254,-86.29416
175,Alabama,Montgomery,32.273275,-86.259551
176,Alabama,Montgomery,32.370027,-86.242435
177,Alabama,Montgomery,32.352188,-86.201805
178,Alabama,Montgomery,32.369906,-86.271969
179,Alabama,Montgomery,32.375789,-86.27008
180,Alabama,Montgomery,32.334141,-86.260841
181,Alabama,Montgomery,32.348511,-86.144541
182,Alabama,Montgomery,32.380124,-86.16438
183,Alabama,Montgomery,32.378365,-86.24679
184,Alabama,Montgomery,32.391523,-86.193254
185,Alabama,Montgomery,32.341846,-86.277533
186,Alabama,Montgomery,32.375242,-86.158352
187,Alabama,Montgomery,32.309924,-86.240711
188,Alabama,Montgomery,32.343306,-86.167468
189,Alabama,Montgomery,32.341748,-86.167057
190,Alabama,Montgomery,32.389676,-86.244298
191,Alabama,Montgomery,32.356445,-86.143059
192,Alabama,Montgomery,32.308274,-86.257496
193,Alabama,Montgomery,32.345345,-86.153421
194,Alabama,Montgomery,32.389227,-86.228626
195,Alabama,Montgomery,32.339396,-86.231634
196,Alabama,Montgomery,32.3413,-86.28926
197,Alabama,Montgomery,32.329261,-86.208689
198,Alabama,Montgomery,32.351898,-86.232662
199,Alabama,Montgomery,32.405798,-86.200885
200,Alabama,Montgomery,32.37089,-86.161376
201,Alabama,Montgomery,32.323353,-86.291318
202,Alabama,Montgomery,32.323992,-86.458715
203,Alabama,Montgomery,32.155112,-86.220291
204,Alabama,Montgomery,32.37021,-86.251939
205,Alabama,Montgomery,32.389801,-86.196333
206,Alabama,Montgomery,32.393518,-86.247999
207,Alabama,Montgomery,32.362228,-86.312431
208,Alabama,Montgomery,32.316226,-86.134284
209,Alabama,Montgomery,32.330353,-86.257237
210,Alabama,Montgomery,32.336941,-86.223595
211,Alabama,Montgomery,32.312602,-86.287019
212,Alabama,Montgomery,32.334407,-86.289689
213,Alabama,Montgomery,32.392608,-86.231218
214,Alabama,Montgomery,32.37289,-86.237024
215,Alabama,Montgomery,32.31254,-86.29416
216,Alabama,Montgomery,32.273275,-86.259551
217,Alabama,Montgomery,32.370027,-86.242435
218,Alabama,Montgomery,32.352188,-86.201805
219,Alabama,Montgomery,32.369906,-86.271969
220,Alabama,Montgomery,32.375789,-86.27008
221,Alabama,Montgomery,32.334141,-86.260841
222,Alabama,Montgomery,32.380124,-86.16438
223,Alabama,Montgomery,32.348511,-86.144541
224,Alabama,Montgomery,32.378365,-86.24679
225,Alabama,Montgomery,32.391523,-86.193254
226,Alabama,Montgomery,32.341846,-86.277533
227,Alabama,Montgomery,32.375242,-86.158352
228,Alabama,Montgomery,32.309924,-86.240711
229,Alabama,Montgomery,32.343306,-86.167468
230,Alabama,Montgomery,32.341748,-86.167057
231,Alabama,Montgomery,32.389676,-86.244298
232,Alabama,Montgomery,32.356445,-86.143059
233,Alabama,Montgomery,32.308274,-86.257496
234,Alabama,Montgomery,32.345345,-86.153421
235,Alabama,Montgomery,32.389227,-86.228626
236,Alabama,Montgomery,32.339396,-86.231634
237,Alabama,Montgomery,32.329261,-86.208689
238,Alabama,Montgomery,32.3413,-86.28926
